+====================+===================+========================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                    |
| clk                | clk               | u_line_buffer/line0_reg_0_255_19_19/RAMS64E_A/ADR2     |
| clk                | clk               | u_line_buffer/line0_reg_0_255_10_10/RAMS64E_B/ADR0     |
| clk                | clk               | u_line_buffer/line0_reg_256_511_22_22/RAMS64E_D/ADR3   |
| clk                | clk               | u_line_buffer/line0_reg_256_511_5_5/RAMS64E_A/ADR0     |
| clk                | clk               | u_line_buffer/line0_reg_0_255_9_9/RAMS64E_A/ADR3       |
| clk                | clk               | u_line_buffer/line0_reg_512_767_16_16/RAMS64E_C/ADR1   |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_4_4/RAMS64E_D/ADR2    |
| clk                | clk               | u_line_buffer/line1_reg_1280_1535_17_17/RAMS64E_A/ADR0 |
| clk                | clk               | u_line_buffer/line0_reg_0_255_9_9/RAMS64E_B/ADR3       |
| clk                | clk               | u_line_buffer/line0_reg_0_255_19_19/RAMS64E_C/ADR4     |
| clk                | clk               | u_line_buffer/line0_reg_0_255_19_19/RAMS64E_B/ADR4     |
| clk                | clk               | u_line_buffer/line2_reg_768_1023_15_15/RAMS64E_A/ADR2  |
| clk                | clk               | u_line_buffer/line0_reg_512_767_11_11/RAMS64E_D/ADR0   |
| clk                | clk               | u_line_buffer/line0_reg_512_767_13_13/RAMS64E_A/ADR3   |
| clk                | clk               | u_line_buffer/line0_reg_1024_1279_9_9/RAMS64E_C/ADR0   |
| clk                | clk               | u_line_buffer/line2_reg_768_1023_15_15/RAMS64E_B/ADR2  |
| clk                | clk               | u_line_buffer/line0_reg_0_255_14_14/RAMS64E_C/ADR2     |
| clk                | clk               | u_line_buffer/line0_reg_0_255_4_4/RAMS64E_C/ADR1       |
| clk                | clk               | u_line_buffer/line0_reg_512_767_13_13/RAMS64E_B/ADR3   |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_12_12/RAMS64E_A/ADR2  |
| clk                | clk               | u_line_buffer/line0_reg_0_255_19_19/RAMS64E_B/ADR2     |
| clk                | clk               | u_line_buffer/line1_reg_512_767_12_12/RAMS64E_D/ADR0   |
| clk                | clk               | u_line_buffer/line0_reg_0_255_11_11/RAMS64E_C/ADR3     |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_9_9/RAMS64E_D/ADR1    |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_4_4/RAMS64E_D/ADR0    |
| clk                | clk               | u_line_buffer/line0_reg_0_255_11_11/RAMS64E_D/ADR0     |
| clk                | clk               | u_line_buffer/line0_reg_0_255_19_19/RAMS64E_D/ADR4     |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_11_11/RAMS64E_C/ADR0  |
| clk                | clk               | u_line_buffer/line1_reg_512_767_16_16/RAMS64E_C/ADR2   |
| clk                | clk               | u_line_buffer/line1_reg_512_767_12_12/RAMS64E_B/ADR0   |
| clk                | clk               | u_line_buffer/line1_reg_1024_1279_21_21/RAMS64E_A/ADR2 |
| clk                | clk               | u_line_buffer/line0_reg_0_255_11_11/RAMS64E_A/ADR5     |
| clk                | clk               | u_line_buffer/line0_reg_1024_1279_11_11/RAMS64E_B/ADR0 |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_12_12/RAMS64E_B/ADR2  |
| clk                | clk               | u_line_buffer/line0_reg_1024_1279_11_11/RAMS64E_A/ADR0 |
| clk                | clk               | u_line_buffer/line0_reg_1536_1791_13_13/RAMS64E_A/ADR0 |
| clk                | clk               | u_line_buffer/line1_reg_1280_1535_17_17/RAMS64E_B/ADR0 |
| clk                | clk               | u_line_buffer/line1_reg_256_511_10_10/RAMS64E_C/ADR0   |
| clk                | clk               | u_line_buffer/line1_reg_0_255_10_10/RAMS64E_C/ADR2     |
| clk                | clk               | u_line_buffer/line2_reg_768_1023_10_10/RAMS64E_D/ADR0  |
| clk                | clk               | u_line_buffer/line0_reg_0_255_4_4/RAMS64E_A/ADR1       |
| clk                | clk               | u_line_buffer/line0_reg_1280_1535_11_11/RAMS64E_C/ADR1 |
| clk                | clk               | u_line_buffer/line0_reg_1024_1279_13_13/RAMS64E_B/ADR4 |
| clk                | clk               | u_line_buffer/line1_reg_512_767_12_12/RAMS64E_A/ADR0   |
| clk                | clk               | u_line_buffer/line0_reg_512_767_11_11/RAMS64E_A/ADR0   |
| clk                | clk               | u_line_buffer/line0_reg_1536_1791_13_13/RAMS64E_B/ADR0 |
| clk                | clk               | u_line_buffer/line1_reg_256_511_10_10/RAMS64E_C/ADR2   |
| clk                | clk               | u_line_buffer/line0_reg_256_511_13_13/RAMS64E_C/ADR3   |
| clk                | clk               | u_line_buffer/line0_reg_0_255_5_5/RAMS64E_A/ADR2       |
| clk                | clk               | u_line_buffer/line0_reg_1024_1279_11_11/RAMS64E_B/ADR3 |
| clk                | clk               | u_line_buffer/line0_reg_1280_1535_13_13/RAMS64E_D/ADR1 |
| clk                | clk               | u_line_buffer/line0_reg_256_511_5_5/RAMS64E_A/ADR2     |
| clk                | clk               | u_line_buffer/line0_reg_256_511_11_11/RAMS64E_C/ADR3   |
| clk                | clk               | u_line_buffer/line0_reg_0_255_4_4/RAMS64E_B/ADR1       |
| clk                | clk               | u_line_buffer/line0_reg_256_511_22_22/RAMS64E_C/ADR2   |
| clk                | clk               | u_line_buffer/line0_reg_1280_1535_13_13/RAMS64E_A/ADR2 |
| clk                | clk               | u_line_buffer/line0_reg_0_255_14_14/RAMS64E_D/ADR2     |
| clk                | clk               | u_line_buffer/line0_reg_256_511_22_22/RAMS64E_B/ADR3   |
| clk                | clk               | u_line_buffer/line1_reg_0_255_6_6/RAMS64E_A/ADR1       |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_12_12/RAMS64E_C/ADR2  |
| clk                | clk               | u_line_buffer/line0_reg_0_255_5_5/RAMS64E_B/ADR2       |
| clk                | clk               | u_line_buffer/line1_reg_0_255_6_6/RAMS64E_B/ADR1       |
| clk                | clk               | u_line_buffer/line0_reg_256_511_15_15/RAMS64E_C/ADR3   |
| clk                | clk               | u_line_buffer/line0_reg_256_511_5_5/RAMS64E_B/ADR2     |
| clk                | clk               | u_line_buffer/line0_reg_256_511_10_10/RAMS64E_C/ADR3   |
| clk                | clk               | u_line_buffer/line0_reg_0_255_4_4/RAMS64E_D/ADR1       |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_3_3/RAMS64E_C/ADR1    |
| clk                | clk               | u_line_buffer/line1_reg_1280_1535_16_16/RAMS64E_C/ADR2 |
| clk                | clk               | u_line_buffer/line0_reg_1280_1535_13_13/RAMS64E_B/ADR2 |
| clk                | clk               | u_line_buffer/line0_reg_0_255_4_4/RAMS64E_C/ADR0       |
| clk                | clk               | u_line_buffer/line0_reg_1024_1279_9_9/RAMS64E_B/ADR0   |
| clk                | clk               | u_line_buffer/line0_reg_1024_1279_9_9/RAMS64E_D/ADR0   |
| clk                | clk               | u_line_buffer/line0_reg_256_511_16_16/RAMS64E_C/ADR3   |
| clk                | clk               | u_line_buffer/line1_reg_0_255_10_10/RAMS64E_D/ADR2     |
| clk                | clk               | u_line_buffer/line1_reg_512_767_16_16/RAMS64E_D/ADR2   |
| clk                | clk               | u_line_buffer/line0_reg_256_511_14_14/RAMS64E_D/ADR2   |
| clk                | clk               | u_line_buffer/line0_reg_1280_1535_13_13/RAMS64E_D/ADR2 |
| clk                | clk               | u_line_buffer/line0_reg_512_767_11_11/RAMS64E_B/ADR0   |
| clk                | clk               | u_line_buffer/line0_reg_0_255_11_11/RAMS64E_D/ADR3     |
| clk                | clk               | u_line_buffer/line0_reg_1024_1279_9_9/RAMS64E_A/ADR0   |
| clk                | clk               | u_line_buffer/line0_reg_256_511_22_22/RAMS64E_A/ADR3   |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_13_13/RAMS64E_A/ADR2  |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_11_11/RAMS64E_D/ADR0  |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_19_19/RAMS64E_A/ADR2  |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_9_9/RAMS64E_C/ADR0    |
| clk                | clk               | u_line_buffer/line1_reg_1280_1535_16_16/RAMS64E_A/ADR3 |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_12_12/RAMS64E_D/ADR2  |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_14_14/RAMS64E_A/ADR2  |
| clk                | clk               | u_line_buffer/line0_reg_1280_1535_11_11/RAMS64E_D/ADR1 |
| clk                | clk               | u_line_buffer/line0_reg_512_767_13_13/RAMS64E_A/ADR4   |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_14_14/RAMS64E_B/ADR2  |
| clk                | clk               | u_line_buffer/line1_reg_256_511_10_10/RAMS64E_D/ADR0   |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_8_8/RAMS64E_A/ADR0    |
| clk                | clk               | u_line_buffer/line0_reg_0_255_8_8/RAMS64E_A/ADR1       |
| clk                | clk               | u_line_buffer/line0_reg_1280_1535_8_8/RAMS64E_C/ADR2   |
| clk                | clk               | u_line_buffer/line2_reg_768_1023_15_15/RAMS64E_A/ADR0  |
| clk                | clk               | u_line_buffer/line0_reg_512_767_13_13/RAMS64E_B/ADR4   |
| clk                | clk               | u_line_buffer/line0_reg_256_511_13_13/RAMS64E_D/ADR3   |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_13_13/RAMS64E_B/ADR2  |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_19_19/RAMS64E_B/ADR2  |
| clk                | clk               | u_line_buffer/line0_reg_0_255_8_8/RAMS64E_B/ADR1       |
+--------------------+-------------------+--------------------------------------------------------+
